Time passed, x, y 
1.7778699398040771, 1, 0, 
1.8835582733154297, 1, 1, 
2.157665252685547, 1, 1, 
2.2634682655334473, 2, 1, 
2.3667187690734863, 3, 1, 
2.4724411964416504, 3, 1, 
2.575667381286621, 3, 1, 
2.6814959049224854, 3, 2, 
2.786891460418701, 3, 3, 
2.892747640609741, 3, 4, 
2.9988598823547363, 3, 5, 
3.1045162677764893, 3, 5, 
3.2099947929382324, 3, 5, 
3.3944761753082275, 3, 5, 
3.4999072551727295, 2, 5, 
3.6056787967681885, 1, 5, 
3.7110493183135986, 1, 5, 
3.816692590713501, 1, 5, 
3.9227375984191895, 1, 5, 
4.029263734817505, 1, 6, 
4.134960412979126, 1, 7, 
4.239964723587036, 1, 8, 
4.345678806304932, 1, 9, 
4.753071308135986, 1, 9, 
4.85672664642334, 2, 9, 
4.959524869918823, 3, 9, 
5.065072298049927, 3, 9, 
5.170931339263916, 3, 9, 
5.416773319244385, 3, 9, 
5.520650863647461, 3, 8, 
5.625706672668457, 3, 7, 
5.80300760269165, 3, 7, 
5.908677577972412, 4, 7, 
6.014215707778931, 5, 7, 
6.12119197845459, 5, 7, 
6.226735591888428, 5, 6, 
6.331190347671509, 5, 5, 
6.436758041381836, 5, 4, 
6.542402029037476, 5, 3, 
6.648350715637207, 5, 2, 
6.755007028579712, 5, 1, 
6.861313581466675, 5, 1, 
6.968144178390503, 6, 1, 
7.0739662647247314, 7, 1, 
7.179260969161987, 7, 1, 
7.28574800491333, 7, 2, 
7.39128565788269, 7, 3, 
7.496807098388672, 7, 3, 
7.602741956710815, 8, 3, 
7.708121299743652, 9, 3, 
7.813821077346802, 10, 3, 
7.92011284828186, 11, 3, 
8.02557921409607, 11, 2, 
8.131038427352905, 11, 1, 
8.23559832572937, 11, 1, 
8.342203140258789, 11, 1, 
8.448911905288696, 11, 1, 
8.55364990234375, 12, 1, 
8.659474611282349, 13, 1, 
8.766077518463135, 14, 1, 
8.872143507003784, 15, 1, 
8.976775884628296, 15, 2, 
9.08267617225647, 15, 3, 
9.18783974647522, 15, 4, 
9.29221487045288, 15, 5, 
9.39808702468872, 15, 6, 
9.501562595367432, 15, 7, 
9.604015350341797, 15, 7, 
9.707778930664062, 15, 7, 
9.81272268295288, 15, 7, 
9.917092084884644, 14, 7, 
10.020080804824829, 13, 7, 
10.122558832168579, 12, 7, 
10.225689888000488, 11, 7, 
10.329220056533813, 11, 7, 
10.432087421417236, 11, 7, 
10.535560846328735, 11, 6, 
10.638930320739746, 11, 5, 
10.775336742401123, 11, 5, 
10.8783860206604, 10, 5, 
