Time passed, x, y 
1.75250244140625, 1, 0, 
1.856198787689209, 1, 1, 
2.234114408493042, 1, 1, 
2.33687424659729, 2, 1, 
2.440896987915039, 3, 1, 
2.659518003463745, 3, 1, 
2.7630295753479004, 3, 2, 
2.867276191711426, 3, 3, 
2.9720067977905273, 3, 3, 
3.1365249156951904, 3, 3, 
3.2431259155273438, 2, 3, 
3.3490753173828125, 1, 3, 
3.555299758911133, 1, 3, 
3.661071538925171, 1, 4, 
3.765848398208618, 1, 5, 
3.871476650238037, 1, 6, 
3.977403163909912, 1, 7, 
4.105839967727661, 1, 7, 
4.211889028549194, 2, 7, 
4.3176140785217285, 3, 7, 
4.4233386516571045, 4, 7, 
4.58698582649231, 5, 7, 
4.692880153656006, 5, 8, 
4.79738187789917, 5, 9, 
5.019463777542114, 5, 9, 
5.125570297241211, 6, 9, 
5.2306952476501465, 7, 9, 
5.476261138916016, 7, 9, 
5.583189010620117, 7, 8, 
5.689228534698486, 7, 7, 
5.95665431022644, 7, 7, 
6.062299966812134, 8, 7, 
6.482072353363037, 9, 7, 
6.585589170455933, 9, 8, 
6.960012197494507, 9, 9, 
7.064883708953857, 10, 9, 
7.168672561645508, 11, 9, 
7.452796697616577, 11, 9, 
7.558769941329956, 11, 10, 
7.66295313835144, 11, 11, 
7.768629550933838, 11, 12, 
7.871088981628418, 11, 13, 
7.977753162384033, 11, 14, 
8.084033012390137, 11, 15, 
9.115066289901733, 11, 15, 
9.218840599060059, 10, 15, 
9.323704719543457, 9, 15, 
9.429763317108154, 9, 15, 
9.733020782470703, 9, 15, 
9.839383363723755, 9, 14, 
9.944273948669434, 9, 13, 
10.049823999404907, 9, 13, 
10.322919607162476, 9, 13, 
10.427183866500854, 8, 13, 
10.533191204071045, 7, 13, 
11.375248193740845, 7, 13, 
11.480039834976196, 7, 14, 
11.585367918014526, 7, 15, 
11.690349578857422, 7, 15, 
12.15041208267212, 7, 15, 
12.2541663646698, 6, 15, 
12.358700275421143, 5, 15, 
12.856940031051636, 5, 15, 
12.962035179138184, 5, 14, 
13.067300796508789, 5, 13, 
13.172922372817993, 5, 12, 
13.27912712097168, 5, 11, 
13.385350704193115, 5, 11, 
14.134617328643799, 5, 11, 
14.23875617980957, 4, 11, 
14.34423041343689, 3, 11, 
14.449629545211792, 2, 11, 
14.554824352264404, 1, 11, 
40.70551061630249, 1, 11, 
40.81054139137268, 1, 12, 
53.16653752326965, 1, 13, 
53.27021670341492, 1, 14, 
54.41240429878235, 1, 15, 
54.5129292011261, 1, 16, 
