Time passed, x, y 
0.7116847038269043, 1, 0, 
0.8157641887664795, 1, 1, 
1.0057649612426758, 1, 1, 
1.1097393035888672, 2, 1, 
1.2386548519134521, 3, 1, 
1.3449676036834717, 3, 2, 
1.4511868953704834, 3, 3, 
1.5544447898864746, 3, 4, 
1.6578810214996338, 3, 5, 
1.7612149715423584, 3, 5, 
1.8658397197723389, 3, 5, 
1.9696111679077148, 2, 5, 
2.071713924407959, 1, 5, 
2.1756858825683594, 1, 5, 
2.279468297958374, 1, 5, 
2.3840487003326416, 1, 6, 
2.489705801010132, 1, 7, 
2.594499111175537, 1, 8, 
2.7016448974609375, 1, 9, 
2.8076999187469482, 2, 9, 
2.9114115238189697, 3, 9, 
3.0175204277038574, 3, 9, 
3.1204025745391846, 3, 8, 
3.225219249725342, 3, 7, 
3.329885482788086, 3, 7, 
3.436209201812744, 4, 7, 
3.5420351028442383, 5, 7, 
3.6487367153167725, 5, 6, 
3.7544615268707275, 5, 5, 
3.860992193222046, 5, 4, 
3.963728904724121, 5, 3, 
4.0666375160217285, 5, 2, 
4.172006845474243, 5, 1, 
4.278576612472534, 5, 1, 
4.38323187828064, 6, 1, 
4.489159107208252, 7, 1, 
4.59503698348999, 7, 1, 
4.699936389923096, 7, 2, 
4.804557800292969, 7, 3, 
4.910315752029419, 7, 3, 
5.016059875488281, 8, 3, 
5.120796203613281, 9, 3, 
5.2251551151275635, 10, 3, 
5.331283092498779, 11, 3, 
5.436300277709961, 11, 3, 
5.5414137840271, 11, 2, 
5.646292448043823, 11, 1, 
5.751862049102783, 11, 1, 
5.857295751571655, 12, 1, 
5.961946725845337, 13, 1, 
6.067919731140137, 14, 1, 
6.169325113296509, 15, 1, 
6.274241924285889, 15, 2, 
6.379366397857666, 15, 3, 
6.483995199203491, 15, 4, 
6.58998966217041, 15, 5, 
6.694364547729492, 15, 6, 
6.800221681594849, 15, 7, 
6.904858112335205, 15, 7, 
7.0101776123046875, 15, 7, 
7.114511966705322, 14, 7, 
7.2199883460998535, 13, 7, 
7.322438716888428, 12, 7, 
7.427536725997925, 11, 7, 
7.533072233200073, 11, 7, 
7.638307809829712, 11, 6, 
7.743290185928345, 11, 5, 
7.849102020263672, 11, 5, 
7.9545392990112305, 11, 5, 
8.060228824615479, 10, 5, 
8.165146350860596, 9, 5, 
8.269615411758423, 9, 5, 
8.374709129333496, 9, 5, 
8.479376554489136, 9, 6, 
8.584139347076416, 9, 7, 
8.689206838607788, 9, 8, 
8.79468297958374, 9, 9, 
8.901045322418213, 9, 9, 
9.00200891494751, 8, 9, 
9.108121156692505, 8, 9, 
9.212412118911743, 7, 9, 
9.866879224777222, 7, 9, 
9.970168113708496, 7, 10, 
10.075932264328003, 7, 11, 
10.182554006576538, 7, 12, 
10.288215160369873, 7, 13, 
10.39403748512268, 7, 14, 
10.499736785888672, 7, 15, 
16.865655660629272, 7, 15, 
16.971107482910156, 6, 15, 
17.513836145401, 5, 15, 
17.618111848831177, 5, 14, 
39.354612827301025, 5, 13, 
39.459025621414185, 4, 13, 
39.65956425666809, 3, 13, 
39.92247247695923, 2, 13, 
40.02696394920349, 1, 13, 
42.926913022994995, 1, 13, 
43.031095027923584, 1, 14, 
43.94639468193054, 1, 15, 
44.050912618637085, 1, 14, 
44.15485167503357, 1, 13, 
44.26045227050781, 1, 12, 
44.364166259765625, 1, 11, 
44.46916365623474, 1, 11, 
44.79817843437195, 1, 11, 
44.90213179588318, 1, 12, 
45.00795125961304, 1, 13, 
45.112706899642944, 1, 14, 
45.21877360343933, 1, 15, 
45.31994390487671, 1, 16, 
