Time passed, x, y 
1.992138385772705, 1, 0, 
2.0964879989624023, 1, 1, 
2.2481393814086914, 1, 1, 
2.4843637943267822, 1, 1, 
2.590355157852173, 2, 1, 
2.697035551071167, 3, 1, 
2.9488391876220703, 3, 1, 
3.054459571838379, 3, 2, 
3.1598784923553467, 3, 3, 
3.2656965255737305, 3, 3, 
3.3716020584106445, 3, 3, 
3.4770381450653076, 2, 3, 
3.5832738876342773, 1, 3, 
3.9904348850250244, 1, 3, 
4.094518423080444, 1, 4, 
4.201522350311279, 1, 5, 
4.307266712188721, 1, 6, 
4.413494348526001, 1, 7, 
4.581251859664917, 1, 7, 
4.688171863555908, 2, 7, 
4.79252028465271, 3, 7, 
4.898437261581421, 4, 7, 
5.033466577529907, 5, 7, 
5.138841152191162, 5, 8, 
5.241733074188232, 5, 9, 
5.346904277801514, 5, 9, 
5.453222274780273, 6, 9, 
5.556567192077637, 7, 9, 
5.6633946895599365, 7, 9, 
5.768573522567749, 7, 8, 
5.873218297958374, 7, 7, 
5.980413436889648, 7, 7, 
6.086646318435669, 8, 7, 
6.193684101104736, 9, 7, 
6.3009796142578125, 9, 7, 
6.4059131145477295, 9, 8, 
6.511781215667725, 9, 9, 
6.646578788757324, 9, 9, 
6.752423048019409, 10, 9, 
6.857482671737671, 11, 9, 
7.012385129928589, 11, 9, 
7.118369817733765, 11, 10, 
7.223211765289307, 11, 11, 
7.329427003860474, 11, 12, 
7.435337543487549, 11, 13, 
7.540984630584717, 11, 14, 
10.02676773071289, 11, 15, 
10.130847454071045, 10, 15, 
10.232514381408691, 9, 15, 
10.338299036026001, 9, 15, 
10.62069582939148, 9, 15, 
10.726482152938843, 9, 14, 
10.831143856048584, 9, 13, 
10.937126398086548, 9, 13, 
11.450664520263672, 9, 13, 
11.554496765136719, 8, 13, 
11.660691261291504, 7, 13, 
11.994100570678711, 7, 13, 
12.09802794456482, 7, 14, 
12.201570510864258, 7, 15, 
12.307210445404053, 7, 15, 
12.413367986679077, 7, 15, 
12.51884150505066, 6, 15, 
12.623837947845459, 5, 15, 
12.731156587600708, 5, 15, 
12.837359189987183, 5, 14, 
12.943479299545288, 5, 13, 
13.047001600265503, 5, 12, 
13.154627084732056, 5, 11, 
13.396304607391357, 5, 11, 
13.500489473342896, 4, 11, 
13.603615283966064, 3, 11, 
13.709920644760132, 2, 11, 
13.814492464065552, 1, 11, 
14.47387170791626, 1, 11, 
14.695300340652466, 1, 12, 
15.353968381881714, 1, 13, 
16.026150703430176, 1, 14, 
16.129050731658936, 1, 15, 
16.230965614318848, 1, 16, 
